,SecurityID,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31
0,3051.0,Cluster 0,Cluster 85,Cluster 70,Cluster 82,Cluster 99,Cluster 91
1,3704.0,Cluster 0,Cluster 119,Cluster 0,Cluster 12,Cluster 65,Cluster 87
2,4121.0,Cluster 0,Cluster 52,Cluster 53,Cluster 72,Cluster 6,Cluster 91
3,4130.0,Cluster 0,Cluster 76,Cluster 124,Cluster 89,Cluster 10,Cluster 109
4,4259.0,Cluster 0,Cluster 95,Cluster 28,Cluster 86,Cluster 105,Cluster 76
5,4277.0,Cluster 0,Cluster 62,Cluster 20,Cluster 15,Cluster 77,Cluster 80
6,5627.0,Cluster 0,Cluster 85,Cluster 44,Cluster 30,Cluster 53,Cluster 82
7,5913.0,Cluster 0,Cluster 56,Cluster 36,Cluster 121,Cluster 59,Cluster 94
8,6313.0,Cluster 0,Cluster 67,Cluster 90,Cluster 38,Cluster 42,
9,6551.0,Cluster 0,Cluster 30,,,Cluster 74,Cluster 106
10,7630.0,Cluster 0,Cluster 0,Cluster 113,Cluster 5,Cluster 64,Cluster 94
11,8059.0,Cluster 0,Cluster 39,Cluster 1,Cluster 10,Cluster 89,Cluster 60
12,8089.0,Cluster 0,Cluster 96,Cluster 4,Cluster 99,Cluster 112,Cluster 21
13,8212.0,Cluster 0,Cluster 104,Cluster 72,Cluster 64,,
14,8644.0,Cluster 0,Cluster 46,Cluster 103,Cluster 31,Cluster 35,Cluster 106
15,12262.0,Cluster 0,Cluster 59,Cluster 37,Cluster 36,Cluster 39,Cluster 44
16,12513.0,Cluster 0,Cluster 63,Cluster 110,Cluster 14,Cluster 61,Cluster 31
17,12558.0,Cluster 0,Cluster 101,Cluster 123,Cluster 20,Cluster 15,Cluster 83
18,12891.0,Cluster 0,Cluster 5,Cluster 94,Cluster 108,Cluster 21,Cluster 64
19,13158.0,Cluster 0,Cluster 80,Cluster 107,Cluster 32,Cluster 101,Cluster 76
20,13185.0,Cluster 0,Cluster 1,Cluster 106,Cluster 64,Cluster 70,Cluster 9
21,15101.0,Cluster 0,Cluster 51,Cluster 20,Cluster 78,Cluster 25,Cluster 53
22,15105.0,Cluster 0,Cluster 73,Cluster 45,Cluster 119,Cluster 6,Cluster 91
23,15166.0,Cluster 0,Cluster 19,Cluster 93,Cluster 79,Cluster 6,Cluster 78
24,15456.0,Cluster 0,Cluster 90,Cluster 108,Cluster 68,Cluster 22,Cluster 106
25,15518.0,Cluster 0,Cluster 61,Cluster 25,Cluster 101,Cluster 35,Cluster 15
26,15970.0,Cluster 0,Cluster 119,Cluster 108,Cluster 99,Cluster 64,Cluster 38
27,16264.0,Cluster 0,Cluster 42,Cluster 56,Cluster 4,Cluster 69,Cluster 42
28,16991.0,Cluster 0,Cluster 124,Cluster 16,Cluster 123,Cluster 0,
29,17017.0,Cluster 0,Cluster 64,Cluster 56,Cluster 79,Cluster 38,Cluster 43
30,18062.0,Cluster 0,Cluster 23,Cluster 7,Cluster 87,Cluster 25,Cluster 21
31,18702.0,Cluster 0,Cluster 22,Cluster 44,Cluster 17,Cluster 63,Cluster 34
32,20311.0,Cluster 0,Cluster 116,Cluster 27,Cluster 22,Cluster 119,Cluster 101
33,20417.0,Cluster 0,Cluster 0,Cluster 99,Cluster 93,Cluster 50,Cluster 50
34,21459.0,Cluster 0,Cluster 12,Cluster 118,Cluster 27,Cluster 112,Cluster 28
35,21482.0,Cluster 0,Cluster 101,Cluster 106,Cluster 6,Cluster 36,Cluster 83
36,21597.0,Cluster 0,Cluster 35,Cluster 55,Cluster 19,Cluster 40,Cluster 12
37,22175.0,Cluster 0,Cluster 68,Cluster 64,Cluster 80,Cluster 97,Cluster 3
38,22995.0,Cluster 0,Cluster 55,Cluster 70,Cluster 7,Cluster 87,Cluster 88
39,23049.0,Cluster 0,Cluster 30,Cluster 109,Cluster 113,Cluster 5,Cluster 53
40,24456.0,Cluster 0,Cluster 114,Cluster 88,Cluster 17,Cluster 59,Cluster 98
41,27467.0,Cluster 0,Cluster 88,Cluster 88,Cluster 4,Cluster 21,Cluster 92
42,29892.0,Cluster 0,Cluster 1,Cluster 40,Cluster 111,Cluster 31,Cluster 95
43,30621.0,Cluster 0,Cluster 21,Cluster 102,Cluster 38,Cluster 5,Cluster 67
44,30711.0,Cluster 0,Cluster 13,Cluster 88,Cluster 6,Cluster 2,Cluster 10
45,32731.0,Cluster 0,Cluster 116,Cluster 96,Cluster 98,Cluster 78,Cluster 55
46,32849.0,Cluster 0,Cluster 16,Cluster 69,Cluster 87,Cluster 44,Cluster 34
47,33071.0,Cluster 0,Cluster 81,Cluster 63,Cluster 22,,
48,33114.0,Cluster 0,Cluster 13,Cluster 124,Cluster 56,Cluster 94,Cluster 58
49,33458.0,Cluster 0,Cluster 96,Cluster 98,Cluster 84,Cluster 9,Cluster 21
50,33460.0,Cluster 0,Cluster 14,Cluster 85,Cluster 20,Cluster 25,Cluster 14
51,33939.0,Cluster 0,Cluster 84,Cluster 67,Cluster 64,Cluster 96,Cluster 84
52,33992.0,Cluster 0,Cluster 115,Cluster 26,Cluster 103,,
