,SecurityID,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31
0,3311.0,Cluster 0,Cluster 44,,Cluster 58,Cluster 28,Cluster 12
1,19908.0,Cluster 0,Cluster 97,Cluster 28,Cluster 4,Cluster 4,Cluster 12
2,42500.0,Cluster 0,Cluster 58,Cluster 6,Cluster 59,,
3,53009.0,Cluster 0,Cluster 12,Cluster 14,Cluster 0,,
4,87.0,Cluster 1,Cluster 2,Cluster 9,Cluster 14,Cluster 8,Cluster 0
5,95.0,Cluster 1,Cluster 97,Cluster 15,Cluster 14,Cluster 6,
6,263.0,Cluster 1,Cluster 2,Cluster 52,Cluster 29,Cluster 110,Cluster 34
7,383.0,Cluster 1,Cluster 36,Cluster 65,,,
8,1853.0,Cluster 1,Cluster 29,Cluster 3,Cluster 28,Cluster 58,Cluster 12
9,1955.0,Cluster 1,Cluster 29,Cluster 15,Cluster 14,Cluster 58,Cluster 34
10,2003.0,Cluster 1,Cluster 102,Cluster 9,Cluster 29,Cluster 50,Cluster 12
11,2005.0,Cluster 1,Cluster 97,Cluster 9,Cluster 28,Cluster 50,Cluster 1
12,2056.0,Cluster 1,Cluster 71,,Cluster 59,,Cluster 15
13,2878.0,Cluster 1,Cluster 29,Cluster 15,Cluster 58,Cluster 8,Cluster 0
14,2893.0,Cluster 1,Cluster 1,Cluster 22,Cluster 58,Cluster 46,Cluster 34
15,2902.0,Cluster 1,Cluster 29,Cluster 9,Cluster 58,Cluster 8,Cluster 12
16,2918.0,Cluster 1,Cluster 29,Cluster 9,Cluster 13,Cluster 1,Cluster 12
17,3014.0,Cluster 1,Cluster 97,Cluster 15,Cluster 58,Cluster 9,Cluster 0
18,3173.0,Cluster 1,Cluster 29,Cluster 15,Cluster 100,Cluster 39,Cluster 1
19,3234.0,Cluster 1,Cluster 1,Cluster 52,Cluster 29,Cluster 6,Cluster 34
20,3446.0,Cluster 1,Cluster 31,Cluster 28,Cluster 99,Cluster 58,Cluster 34
21,3685.0,Cluster 1,Cluster 2,Cluster 9,Cluster 14,Cluster 9,Cluster 15
22,4034.0,Cluster 1,Cluster 29,Cluster 22,Cluster 28,Cluster 1,Cluster 16
