SecurityID,2019/2/28,2019/4/30,2019/6/30,2019/8/31,2019/10/31,2019/12/31
109,Cluster 0,Cluster 10,Cluster 1,Cluster 7,Cluster 21,Cluster 12
135,Cluster 0,Cluster 6,Cluster 3,Cluster 21,Cluster 5,Cluster 11
160,Cluster 0,Cluster 23,Cluster 1,Cluster 16,Cluster 22,Cluster 12
267,Cluster 0,Cluster 9,Cluster 4,Cluster 16,Cluster 15,Cluster 12
339,Cluster 0,Cluster 5,Cluster 6,Cluster 19,Cluster 5,Cluster 1
1858,Cluster 0,Cluster 7,Cluster 7,Cluster 7,Cluster 15,Cluster 2
1861,Cluster 0,Cluster 8,Cluster 22,Cluster 15,Cluster 22,Cluster 21
1895,Cluster 0,Cluster 9,Cluster 13,Cluster 20,Cluster 19,Cluster 21
1903,Cluster 0,Cluster 8,Cluster 12,Cluster 20,Cluster 9,Cluster 12
1956,Cluster 0,Cluster 21,Cluster 11,Cluster 12,Cluster 5,Cluster 15
1966,Cluster 0,Cluster 12,Cluster 3,Cluster 4,Cluster 16,Cluster 1
2035,Cluster 0,Cluster 14,Cluster 12,Cluster 1,Cluster 6,Cluster 14
2039,Cluster 0,Cluster 21,Cluster 21,Cluster 6,Cluster 12,Cluster 7
2041,Cluster 0,Cluster 6,Cluster 19,Cluster 20,Cluster 5,Cluster 12
2046,Cluster 0,Cluster 22,Cluster 22,Cluster 8,Cluster 22,Cluster 8
2048,Cluster 0,Cluster 14,Cluster 12,Cluster 19,Cluster 5,Cluster 7
2050,Cluster 0,Cluster 12,Cluster 23,Cluster 20,Cluster 20,Cluster 8
2061,Cluster 0,Cluster 7,Cluster 6,Cluster 8,Cluster 22,
2062,Cluster 0,Cluster 22,Cluster 14,Cluster 6,Cluster 22,Cluster 6
2065,Cluster 0,Cluster 1,Cluster 2,Cluster 6,Cluster 5,Cluster 12
2077,Cluster 0,Cluster 10,Cluster 2,Cluster 19,Cluster 2,Cluster 19
2089,Cluster 0,Cluster 22,Cluster 2,Cluster 6,Cluster 5,Cluster 6
2094,Cluster 0,Cluster 8,Cluster 2,Cluster 23,Cluster 5,Cluster 7
2097,Cluster 0,Cluster 3,Cluster 1,Cluster 20,Cluster 21,Cluster 22
2110,Cluster 0,Cluster 22,Cluster 23,Cluster 13,Cluster 6,Cluster 6
2111,Cluster 0,Cluster 5,Cluster 3,Cluster 5,Cluster 15,Cluster 19
2121,Cluster 0,Cluster 23,Cluster 22,Cluster 6,Cluster 22,Cluster 19
2149,Cluster 0,Cluster 11,Cluster 4,Cluster 6,Cluster 20,Cluster 6
2152,Cluster 0,Cluster 10,Cluster 2,Cluster 23,Cluster 5,Cluster 1
2161,Cluster 0,Cluster 16,Cluster 5,Cluster 0,Cluster 21,Cluster 19
2178,Cluster 0,Cluster 9,Cluster 7,Cluster 8,Cluster 8,Cluster 19
2179,Cluster 0,Cluster 10,Cluster 22,Cluster 20,Cluster 22,Cluster 12
2287,Cluster 0,Cluster 17,Cluster 17,Cluster 6,Cluster 9,Cluster 13
2299,Cluster 0,Cluster 22,Cluster 4,Cluster 20,Cluster 22,Cluster 5
2349,Cluster 0,Cluster 17,Cluster 2,Cluster 23,Cluster 21,Cluster 5
2357,Cluster 0,Cluster 23,Cluster 4,Cluster 6,Cluster 8,Cluster 13
2364,Cluster 0,Cluster 6,Cluster 1,Cluster 20,Cluster 21,Cluster 6
2365,Cluster 0,Cluster 21,Cluster 7,Cluster 1,Cluster 23,Cluster 19
2439,Cluster 0,Cluster 8,Cluster 4,Cluster 6,Cluster 22,Cluster 3
2460,Cluster 0,Cluster 17,Cluster 22,Cluster 20,Cluster 9,Cluster 7
2500,Cluster 0,Cluster 6,Cluster 13,Cluster 7,Cluster 14,Cluster 19
2502,Cluster 0,Cluster 22,Cluster 22,Cluster 23,Cluster 9,Cluster 13
2504,Cluster 0,Cluster 10,Cluster 2,Cluster 4,Cluster 9,Cluster 21
2517,Cluster 0,Cluster 19,Cluster 18,Cluster 4,Cluster 18,Cluster 4
2568,Cluster 0,Cluster 3,Cluster 1,Cluster 19,Cluster 5,Cluster 5
