,SecurityID,p,q,v_mu,omega,alpha1,alpha2,beta1,beta2
0,72952,1,0,-0.006881566667516962,2.619142078846539e-06,9.35105317547062e-10,9.318144112319266e-10,0.9999995114314076,4.3077516142700976e-07
0,72950,2,0,0.013003309801236993,0.0,0.12096000197599764,0.7757024706595513,6.037579085386461e-10,6.032247193482096e-10
0,72949,2,0,0.009985367141023696,6.205485644919315e-12,0.14556651532251202,0.702949069002489,0.0,0.0
0,72948,1,0,0.011265542640973038,0.0,0.0,0.0,0.8523306489980735,0.0
0,72944,1,0,-0.01077551127884555,0.00018908103750165203,0.0,0.6216952410981511,1.630501420966432e-13,3.3674120837891695e-13
0,72940,1,0,0.00021294303150396507,0.000766679192276215,0.0,0.20880112510148757,0.0,0.0
0,72937,2,0,0.037287779872056045,4.199959626510561e-09,0.002282979635178799,0.9977170218501684,1.9361006552834277e-09,1.0064929769028426e-09
0,72934,1,1,0.0022302320664784768,1.0541931989067641e-05,0.004997914554739563,0.0050771349117215885,0.24489781313109038,0.24489781313108985
0,72933,1,0,0.0003707752969608141,2.242486510723094e-06,0.0998700580835797,0.10212908804187706,0.1497861257053411,0.14978612570652625
0,72931,1,0,-0.01772786001661154,0.0002319023592100574,0.0,0.0,0.9999999995457922,4.477287960721986e-10
0,72926,1,0,0.03204492790287204,1.1252506636420252e-09,1.4393134889804648e-10,0.6651762195729595,0.0,0.33482387233577854
0,72917,1,0,4.491047663027e-05,5.882219068168415e-06,5.86812842963966e-10,0.9999999993792685,2.051326792427245e-12,1.323185767568439e-12
0,72910,1,0,-0.0020684711454687864,0.0,0.0,0.0,0.9558649155527398,0.0
0,72902,2,0,0.017339464125870115,0.0005155882540859737,0.0,0.9999999999944671,1.949555568505357e-12,3.354743985985802e-12
0,72901,1,0,0.0007991977087102893,2.4432126792780868e-08,7.034497619975206e-07,5.901378935249319e-11,0.3513369239872119,0.5287057189438836
