,SecurityID,p,q,v_mu,omega,alpha1,alpha2,beta1,beta2
0,64589,1,0,-0.009938913809365365,9.846971985041415e-05,2.2132213036553857e-08,2.212020217696759e-08,0.8381422591500319,0.0
0,64588,1,0,-0.006819578750349645,5.29100961567704e-08,8.228741290742319e-07,8.197646990285474e-07,3.9368839598502904e-05,0.9274603651877582
0,64587,1,0,-0.015442099645290329,0.0006729576301428453,1.56914192989313e-15,0.5476836399806897,4.618022646053729e-16,0.0
0,64586,1,0,-0.007261487064313632,1.5918286660181282e-10,3.3717491261818336e-07,3.3703090638190264e-07,0.9654859395625172,5.234585284087801e-05
0,64585,2,0,0.009360847638335841,0.0002494972772821538,0.0,0.9626839502642881,0.03731902585768254,0.0
0,64584,1,0,-0.01122611101577751,3.188821651794042e-05,0.0,0.0,3.2136926286872015e-08,0.9087598304098106
0,64583,1,0,-0.0044382110379932145,1.6729693747532965e-11,1.639703020259194e-13,1.7551235787608297e-13,0.9613382610863163,4.124169125110751e-05
0,64582,1,0,-0.009518324379164216,0.0,3.849828938700104e-08,2.8250206713779015e-08,0.9717095408455445,2.1741315454658388e-05
0,64581,1,0,0.0075112164827692025,0.0018827801740513126,1.0,5.572927635968196e-13,1.5865682845243385e-12,1.590268225696625e-12
0,64555,2,0,-0.0036778325573749897,6.126259068105046e-06,0.004999986808570534,0.0050026242478421745,0.44499882596866414,0.4449988259686648
0,64554,1,1,-0.006746690495460184,0.0,0.0,0.0,0.942389233100509,0.0
0,64553,1,1,-0.00426435477199576,2.8841081460141005e-05,1.3583352356064927e-13,9.406458872837698e-17,0.7487279649163456,4.532482696584693e-16
0,64552,1,0,-0.007550833746979176,3.441142588117956e-05,0.004999683712965434,0.004999683715849519,0.44497185002859246,0.4449718500285815
0,64551,1,0,-0.0052647093681049955,0.0,2.466109125795704e-08,2.466321400757813e-08,1.142624661130865e-07,0.9590804475073467
0,64550,2,0,-0.00911590720342795,0.00015797832963108452,3.906420176868679e-09,0.13469267537155888,1.9596201664088604e-07,1.9593288978730088e-07
0,64549,1,0,-0.005159870930210245,0.001934905844624598,0.0,0.0,0.1594388990365237,3.404242966649516e-13
0,64537,1,0,-0.0028636630696637594,6.185859598275058e-05,0.1088219641445979,0.4522518478236406,0.14544162414521072,3.3377689187670824e-17
0,64536,1,0,-0.0038577844463360354,8.712537915135473e-05,0.10000020546345297,0.10000561600786162,0.24999732068423505,0.2499973206849031
0,64529,1,1,-0.001997614686454167,2.3976461792768977e-05,0.6395372143862316,0.0,1.1013937033852262e-06,0.2513649142375057
0,64515,1,0,-0.0004644972346297614,4.305267243317545e-05,0.5212123510708843,6.74899398105139e-11,1.598195835424379e-10,0.30436372478056645
0,64514,1,2,0.0019197841912212438,2.2915247335910047e-05,0.6275233154656634,0.0,0.0,0.2929011269320773
0,64469,1,0,-0.0016530636911685184,0.00044107668160031275,0.15352637261100802,5.357101991814062e-12,0.0,3.287359300114391e-10
0,64468,1,0,0.005182733502305425,9.443237771729577e-08,8.017747068809213e-08,7.943684014759257e-08,0.398709937325322,0.5605247605685827
0,64465,1,1,-0.005387819908369476,0.00013226491545003,0.0,0.4257997101944182,5.3434583470830276e-08,2.2558460179766845e-08
0,64375,1,0,-0.0039327696583235545,2.5269343403183923e-12,0.0074872224718508015,0.0,0.0,0.9380213615622789
0,64372,1,1,0.015810454572493655,0.0010144889852582678,1.7522653819763206e-12,0.887531705366979,2.0663529341810655e-12,0.11246829463099912
0,64369,2,0,-0.005439726000468402,2.950363883165752e-06,2.8343098936418285e-11,2.6842126249374153e-11,0.9999999637416876,3.625667807823085e-08
0,64368,1,0,-0.003427174274796422,5.476175108238372e-05,0.0,0.4253473815817751,0.33467542939225337,0.0
0,64364,2,0,-7.46704605006003e-05,0.00022555723752845094,6.934135372785469e-06,0.39159627865308544,1.0401196372652428e-05,1.0401091410490018e-05
0,64363,1,0,-0.0006709074806689764,3.477518448690746e-05,0.005,0.005,0.445,0.445
0,64362,1,0,-0.0049686485177023254,0.00047313308679728446,0.17759469486633955,4.6070620858859375e-14,0.0,0.09666099187088477
0,64361,1,0,-0.0017366455436796078,7.066116892333366e-08,2.0034698322540835e-10,4.463698647666442e-11,1.157282121855225e-11,0.9417420007966733
0,64351,2,0,-0.0061771837953346585,0.00018672059426520074,0.27008369823471096,0.7299163017652848,0.0,0.0
0,64333,2,0,-0.006763383549196683,0.00014631387579764718,0.286331234692513,0.36617467419989846,1.4458733015565061e-19,1.3999725618245535e-19
0,64332,1,0,-0.0035843126932741764,6.387730268297178e-08,8.367675233509179e-11,9.555176840025983e-11,0.4695191390442713,0.5049262120507726
0,64331,1,0,-0.007544594655001018,0.00013712057466549937,0.6770702940852786,0.0,1.8711943537909836e-10,1.8535550871360627e-10
0,64330,1,0,-0.006904369275952228,0.00014653139020034243,0.0,0.0,0.7211278032482038,0.0
0,64329,2,1,-0.728923251215899,0.32134784843751735,2.593180673253726e-13,0.9186771736165916,0.08132282638348752,0.0
0,64321,1,1,-0.004470785342374065,4.951858040082782e-05,0.004999977702813463,0.004999977702231227,0.2449989073340234,0.24499890733403706
0,64320,1,1,-0.004663876831350687,2.237407492354959e-05,1.3087761249391e-14,0.2800990172568681,7.619816462686919e-15,0.6974018621694804
0,64310,1,0,-0.0020303366689647393,8.756990404754759e-05,0.6430870246090575,0.28213080543202446,0.0,0.0
0,64303,1,1,0.0005807583482900963,2.4750095137547924e-05,0.00499998045345138,0.0049999804555078565,0.34499864893957266,0.34499864893937326
0,64302,1,0,0.0007973956557495091,1.0289458681065978e-05,3.215217508341941e-13,5.066816093118669e-13,0.13250254890383847,0.8674974510962392
0,64297,1,0,-0.002870697130923696,1.460344578544691e-07,1.6553034977365586e-12,1.00933550557464e-12,0.9444059395398517,0.026386870512494717
0,64296,2,0,-0.004138137168668106,2.143157895042707e-11,1.4043919096221905e-13,3.9206283116852904e-14,9.132583940480325e-15,0.9612412368415889
0,64295,1,0,-0.005569750639537106,0.0,0.0,2.1628268434329464e-09,3.316076710560345e-08,0.9355884882165931
0,64294,1,0,-0.003664899815949081,0.0002775104537534782,5.733233302492612e-10,0.330557038023769,0.042562285557708815,2.7747655606538652e-08
0,64293,1,0,-0.0007973551624872565,0.0007635050643234559,0.5229748825134348,0.0,4.731530156747354e-09,0.22418384807565506
0,64292,1,0,-0.004011251612984133,3.8580488249704225e-11,4.983213080007648e-09,4.956781445978065e-09,0.0,0.9431856429676266
0,64289,1,0,-0.00327522455253122,0.00011990659239639683,0.037260849738644006,0.28798778511835865,0.1751387774364196,2.6517989132989263e-11
0,64288,1,0,0.00019127421846873308,7.791313063009882e-05,1.0,0.0,0.0,0.0
0,64287,2,0,-0.0016157041163511038,6.297037738398732e-05,0.10000005970001222,0.10000524390220643,0.14999850000019968,0.1499985000002833
0,64286,1,0,-0.005542724558119573,0.0003314937256077842,8.98332749453415e-15,3.586382486121435e-14,0.610005267111929,2.4605214871263754e-13
0,64285,2,0,0.0007406618327370337,2.4210740566129934e-12,0.04910969441194493,0.4546130697517355,0.11867616238468512,0.32322760616998203
0,64284,1,0,-0.005062889800801243,1.5522812191193227e-09,1.1972232982770949e-11,0.02946924452506111,2.0174590886767877e-12,0.9243432515384533
0,64283,1,0,-0.002725031305680918,2.3146739419848578e-06,0.0,5.2452766916889405e-09,0.0,0.933529358887764
0,64282,1,1,-0.0014639424769463452,3.9883301769237377e-05,0.005,0.005,0.345,0.345
0,64281,1,0,-0.00039603944186266077,0.00013330886371126918,0.6641284177439891,0.11151112417910987,4.46133982519916e-12,0.0
0,64268,1,1,-0.006107931081597871,6.894281048650833e-05,1.1640163427172246e-20,7.334267486627595e-12,0.4989979805806748,1.6495708952188746e-09
0,64267,1,0,-0.011006200092592016,0.00021995187096145478,0.13142442357578774,0.009374124567567123,0.14602006797660713,0.08809625448271517
0,64266,1,0,-0.008363019140896802,3.405728793198659e-06,0.0,0.0,1.0,0.0
0,64265,1,1,-0.011306850918535609,1.921005301478626e-05,0.0,0.0,1.0,2.3190152873372095e-17
0,64264,1,0,-0.014260289403730449,0.00018476330566429374,0.9051042074719363,1.9230912314964464e-13,1.5991801925382828e-13,0.09489579252781712
0,64263,1,1,0.00014414247343374023,1.0663169812338166e-06,0.09999998371655473,0.09999998372156262,0.24999995918161375,0.24999995918352258
0,64235,2,0,-0.005875261872711583,5.0271917021383986e-05,0.09999829304649302,0.09999829304649302,0.3499940256627255,0.3499940256627255
0,64234,2,0,-0.004118104869067788,2.904694398049286e-05,4.791663216171714e-19,0.32879098992409833,1.772915389983534e-19,0.586850999464984
0,64231,1,1,-0.0028330943944815112,0.00010674920918315458,2.61870890785545e-07,2.6166577696358126e-07,0.30989703288051496,0.2739414204605659
0,64230,1,0,-0.005779485292209347,0.00013812072811784652,0.5198744720705075,0.0,0.0,0.0
0,64216,2,0,-0.0019899426540351817,0.0001001524825839125,0.004073568354622872,0.004073570667735581,0.2810763602406389,0.35272685905127277
0,64215,2,0,-0.0061644205949988205,0.00016678162883799206,9.031748941009966e-09,0.6631400446218566,2.2578601536804306e-08,0.0
0,64214,1,0,-0.01474150786473241,3.013606385948911e-05,0.0,0.0,1.0,0.0
0,64212,1,0,-0.0022504042892871386,1.4431540096181652e-05,0.0002479842077528953,0.06543907185478341,2.890092389142218e-12,0.839811503299084
0,64211,1,0,-0.005668466964224024,1.25598491591061e-09,1.810631733281174e-10,0.0,0.0,0.9698512223956606
0,64210,1,0,-0.0034464172503163447,0.0003358072908754963,0.0,0.0,0.9188780590680263,0.0
0,64200,1,0,0.006522506403702624,0.00018934656825563695,2.034536952511015e-08,2.3093699181665725e-08,0.7781733504070892,0.0001411119994282425
0,64199,1,0,0.023415875120245965,0.023770842310400896,5.3949938867718784e-14,0.3418091169047136,0.0,2.3520418704274617e-14
0,63804,1,0,0.0008842699887760371,8.465315640336815e-10,1.2178842627249152e-05,1.2181066855351097e-05,0.4175081980398099,0.5515836745331869
0,63355,2,0,-0.005411789479870768,6.273887896664131e-05,0.09999800001149002,0.09999800001169916,0.24999500002754638,0.24999500002767472
0,63246,1,1,-0.0010968015799513414,2.62685971369277e-05,2.983884508713251e-12,2.8194705764906887e-12,0.7871192382956685,3.0896359521415574e-09
0,62638,2,0,0.0003685156292724599,0.00011262837276012098,0.5035035512226417,0.49649638914156374,3.247161970896222e-08,3.688903825167793e-08
0,62629,2,0,-0.0008041420722025647,0.00015757513478276638,0.17980432739997887,0.0799503730189512,0.2798263053802902,0.281980318972026
0,62628,1,0,-0.0008880640279029272,0.00016307389653492487,0.5299039348799726,0.17030475168410464,0.0,0.0
0,62627,1,1,0.0018159826138937829,1.9467917976177577e-05,0.0,3.1580651675168983e-10,0.23592579373876973,0.643048939577543
0,62566,1,0,0.0018222382861239356,0.00019098030837502565,0.29004191930555934,0.0,0.0,0.0
0,62497,2,0,-0.013118673942053401,0.0002599436477996104,0.47525455478408174,0.28612976385929184,0.10110641788900111,2.601105128872912e-15
0,62496,1,0,-0.015873075405352096,0.001194887119808664,0.37165840579728304,0.11809574504527642,0.0,0.04903210263551654
0,62486,1,1,0.002167525008785922,0.00045933265881717384,0.0,3.213145147158756e-10,0.9832639701283687,1.8536969134969916e-07
0,62443,1,0,-0.0024405113131531946,3.3849223598381375e-05,2.5786266917011666e-09,2.1816513099632517e-09,0.8941332505450388,1.1943250071758108e-05
0,62442,2,0,-0.0037949930786849544,3.253060961900786e-05,0.12322849204538096,0.0974190552417184,0.2435476405919619,0.24354764054379496
0,62395,1,0,0.002183943629555782,5.0604950849850576e-05,0.0,0.0,1.0,1.4871590264919587e-14
0,62235,1,0,-0.0031843297616656573,8.87751238103441e-06,0.0,0.0,1.0,4.255642621279128e-17
0,62196,1,1,-0.004283522650583881,3.60638923227295e-05,0.1,0.1,0.39,0.39
0,62177,1,2,0.03909247677111643,0.00038830916501563704,0.7007363783816372,0.0,0.0,0.29926362163204473
0,62170,1,1,-0.0001367928470788045,1.0333390006776463e-05,0.40135008446691717,4.425861239194461e-05,0.31106344324443985,0.2875425644645944
0,62160,1,1,6.165258469301132e-05,0.00038904172742589146,2.3259182824654416e-15,0.007508533962859011,2.7263082293434278e-15,0.9924919379798073
0,62159,1,1,0.002284653846601014,0.0005202477008254365,0.0,0.0,0.0,1.0
0,62157,1,1,-0.004500336548139475,7.616429583705333e-05,0.0,0.020148740147543715,0.0,0.9798515167244383
0,62128,2,1,-0.0012933869448000556,6.182664924956165e-05,0.004999932068307511,0.004999931930871008,0.4449938523435814,0.44499385234983957
0,62123,2,0,-0.0043259737390932635,0.0002714862047863389,2.3090496161232396e-12,2.419596146903928e-12,0.0,0.0
0,62110,1,1,-0.0010200774088927299,4.16406181667062e-05,0.29678409890838925,7.774920807755854e-15,4.778198421315507e-16,0.5315542067322975
0,62074,2,0,-0.0013229944496080935,9.917959499694464e-05,0.21991664097765126,0.3153580193730783,1.09652158522714e-16,6.067914781853099e-16
0,62046,1,0,-0.001096420297519723,5.00512881580562e-05,0.0,0.1161286895948727,1.0023769136576859e-10,0.5544475866755267
0,62042,1,0,-0.008679067139014016,0.0007625558729472354,0.3382051917195197,2.7131896643683416e-09,4.069447928145132e-09,4.0710060048998275e-09
0,62027,1,0,0.002356991715175773,0.0009336846497716334,0.6772692833625177,0.0,0.0,0.0
0,62016,1,1,0.00020216975935810657,0.0003539907514521654,2.6513583868134704e-12,6.58904734159721e-13,6.465421318609373e-11,0.9999999999163952
0,62015,1,1,0.0024133908404506926,0.0005333562701680957,0.0,0.0,1.0675749186727856e-11,0.9999999999993179
0,62014,1,1,0.005738530133599396,0.0005774455479350903,0.0,0.029278922614231612,0.0,0.9707210956804905
0,62013,1,1,-0.004834029759104688,7.146389898526187e-05,6.2126904660644766e-15,6.059625464081335e-15,1.3914469192509386e-14,0.9999999999998049
0,62012,1,1,0.006310081781587663,0.0005320213193627378,0.0,5.543625010674227e-07,0.0,0.9999999999999981
0,62002,2,0,0.002247408672263117,0.0006243434526606961,7.163831310364578e-16,0.9999999999998113,7.105427357586476e-15,5.684341886079827e-14
